ID,Genotype,Location,Year,pod_shattering
295,L-17-166,Kuban,2018,5
296,L-17-167,Kuban,2018,0
297,L-17-169,Kuban,2018,0
298,L-17-176,Kuban,2018,0
299,L-17-181,Kuban,2018,0
300,L-17-183,Kuban,2018,0
301,L-17-184,Kuban,2018,0
302,L-17-204,Kuban,2018,0
303,L-17-214,Kuban,2018,0
304,L-17-224,Kuban,2018,5
305,L-17-236,Kuban,2018,0
306,L-17-244,Kuban,2018,5
307,L-17-249,Kuban,2018,5
308,L-17-263,Kuban,2018,5
309,L-17-379,Kuban,2018,5
310,L-17-381,Kuban,2018,5
311,L-17-317,Kuban,2018,5
312,L-17-321,Kuban,2018,5
313,L-17-324,Kuban,2018,5
314,L-17-326,Kuban,2018,5
315,L-17-331,Kuban,2018,5
316,L-17-332,Kuban,2018,5
317,L-17-389,Kuban,2018,10
318,L-17-391,Kuban,2018,5
319,L-17-392,Kuban,2018,0
320,L-17-394,Kuban,2018,5
321,L-17-422,Kuban,2018,0
322,L-17-427,Kuban,2018,5
323,L-17-428,Kuban,2018,5
324,L-17-429,Kuban,2018,0
325,L-17-432,Kuban,2018,0
326,L-17-438,Kuban,2018,0
327,L-17-441,Kuban,2018,0
328,L-17-442,Kuban,2018,5
329,L-17-443,Kuban,2018,0
330,L-17-569,Kuban,2018,10
6,Amurskaya_zheltaya_42,Kuban,2019,5
21,Diamond,Kuban,2019,0
36,Lantsetnaya,Kuban,2019,30
37,Nika,Kuban,2019,80
39,HM_648_(Rita),Kuban,2019,20
40,Milvus,Kuban,2019,20
42,Malaga,Kuban,2019,25
46,Korona_szoja,Kuban,2019,5
48,Zolotista,Kuban,2019,30
60,Belgorodskaya_6,Kuban,2019,15
61,Belgorodskaya_7,Kuban,2019,50
62,Belgorodskaya_8,Kuban,2019,10
78,Zaryanitsa,Kuban,2019,50
84,Moravians,Kuban,2019,5
87,Soyer_7,Kuban,2019,40
88,Alena,Kuban,2019,0
89,Amurskaya_2113,Kuban,2019,0
91,Vereteyka,Kuban,2019,0
95,Pepelina,Kuban,2019,0
98,Urkan,Kuban,2019,0
101,Samer_1,Kuban,2019,30
102,Samer_2,Kuban,2019,5
103,Samer_3,Kuban,2019,20
104,Samer_4,Kuban,2019,5
105,Samer_5,Kuban,2019,0
110,Knyazhna,Kuban,2019,0
111,Larisa,Kuban,2019,10
112,Libid,Kuban,2019,40
120,Sireliya,Kuban,2019,10
136,Doza_K,Kuban,2019,0
143,SK_Doka,Kuban,2019,50
144,SK_Unika,Kuban,2019,5
145,SK_Viola,Kuban,2019,0
146,Osmon,Kuban,2019,90
147,Mezenka,Kuban,2019,90
148,Avanta,Kuban,2019,20
149,Bara,Kuban,2019,50
150,Zlata,Kuban,2019,40
151,Volma,Kuban,2019,60
152,Kazachka,Kuban,2019,60
153,Georgiya,Kuban,2019,30
154,OAS_Prudens,Kuban,2019,30
155,Amigo,Kuban,2019,30
156,Selekta_101,Kuban,2019,15
157,Puma,Kuban,2019,20
158,SK_69,Kuban,2019,0
159,SK_Farta,Kuban,2019,20
160,BGL-461,Kuban,2019,0
161,Arleta,Kuban,2019,15
162,Sparta,Kuban,2019,20
163,SK_Agra,Kuban,2019,10
164,Slaviya,Kuban,2019,10
165,Olimpiya,Kuban,2019,5
166,SK_Optima,Kuban,2019,5
167,Selekta_201,Kuban,2019,10
168,YES_Gladiator,Kuban,2019,15
169,Poltava,Kuban,2019,0
171,SK_Veda,Kuban,2019,15
172,SK_Riana,Kuban,2019,0
173,Selekta_301,Kuban,2019,0
174,Vilana,Kuban,2019,0
175,PIN_419,Kuban,2019,0
179,Selekta_302,Kuban,2019,0
180,Shama,Kuban,2019,0
181,Soriano,Kuban,2019,0
182,YES_Palador,Kuban,2019,0
184,SG_Kea,Kuban,2019,20
185,SG_Kalao,Kuban,2019,0
186,Zelda,Kuban,2019,40
187,OAK_M·edok,Kuban,2019,10
188,OAK_Preskot,Kuban,2019,5
189,RZHT_Sforza,Kuban,2019,15
190,Bettina,Kuban,2019,0
191,Santana,Kuban,2019,5
192,Regina,Kuban,2019,10
193,Kleopatra,Kuban,2019,10
194,Olviya,Kuban,2019,5
195,Aldana,Kuban,2019,10
196,Svetlaya,Kuban,2019,90
197,Kasatka,Kuban,2019,90
198,Annushka,Kuban,2019,25
199,Eldorado,Kuban,2019,60
200,SibNIIK_315,Kuban,2019,80
201,Svapa,Kuban,2019,50
202,Yug_30,Kuban,2019,60
203,Paradis,Kuban,2019,70
204,Tundra,Kuban,2019,35
205,Oressa,Kuban,2019,25
206,Ros,Kuban,2019,10
207,Lira,Kuban,2019,70
208,Pripyat,Kuban,2019,50
209,Bazaliya,Kuban,2019,5
210,Major,Kuban,2019,20
211,Maksus,Kuban,2019,30
212,Senator,Kuban,2019,25
213,Lissabon,Kuban,2019,10
214,Anastasiya,Kuban,2019,0
215,KH-KH_iz_Kitaya_№_2,Kuban,2019,50
216,Sultana,Kuban,2019,50
217,Fortuna,Kuban,2019,20
220,Opus,Kuban,2019,5
222,Kioto,Kuban,2019,0
223,Asuka,Kuban,2019,0
224,Amfor,Kuban,2019,10
