"Genotype","X.Intercept."
"05.oaa",0.0543160274781159
"1312-17-2",-0.262530721222542
"1312-17-3",-0.164164265282682
"35-4",0.0788214365668227
"Albina",0.0231876611421776
"Aldana",-0.0826732410653192
"Alena",-0.00845779071217333
"Alina",0.0272574870961811
"Alligator",0.0235156444554183
"Amadea",0.0175291080322594
"Amazonka",-0.0160391260754963
"Amelina",0.0114919000302059
"Amfor",0.0262332946430801
"Amigo",-0.0780947566738636
"Amurskaya_2113",-0.013854695326524
"Amurskaya_buraya_51",0.164021460784345
"Amurskaya_zheltaya_42",-0.064333675775319
"Anastasiya",-0.0333207133480434
"Annushka",-0.1780836182797
"Arleta",-0.0296999032408456
"Asuka",0.0747643172009837
"Avanta",-0.163617721776562
"Balkan",0.0780934750556381
"Banjo",0.0892325298387555
"Bara",-0.148947322481422
"Batya",0.0167357136347362
"Bazaliya",-0.0945927646078884
"Belgorodskaya_6",-0.0621829581034266
"Belgorodskaya_7",-0.0710633150339234
"Belgorodskaya_8",0.00201694757057008
"Bettina",0.0836219835840133
"bez_nazvaniya_133",0.171679305127239
"bez_nazvaniya_134",0.186274755934271
"bez_nazvaniya_3",0.210170996632772
"bez_nazvaniya_4",0.0157303586215909
"bez_nazvaniya_5",0.185699827135049
"BGL-461",0.0636280733524639
"Bilyavka",-0.17109713837276
"Bohemians",-0.0235773251086834
"Brunensis",-0.0165782908309801
"Buk_ge",0.0980492268291974
"Bylina",-0.0173578366484546
"Chara",0.0506196289583156
"Chera_1",-0.227438109639399
"Chiaturskaya_(mestnaya)",0.1966698306745
"Cordoba",0.0204474164977613
"Dana",0.0693970350406009
"Danaya",0.0908095844550177
"Danko",0.00619109319828634
"Delta",0.0595003958915034
"Diadema",0.0268691241188065
"Diamond",-0.00738905053191784
"Doza_K",-0.0105782292762689
"Dun-nun_36",-0.175204490423256
"Eldorado",-0.200628949882206
"Enn",0.18148072374058
"Evrika",0.152659111906273
"Ford",0.162843455586785
"Fortuna",0.0127823909402986
"Georgiya",-0.196050480956006
"Gratsiya",-0.00215986485089786
"Heinong_27",0.0780934750556381
"Hilario_Kunitz",0.128300078326576
"HM_648_(Rita)",-0.154452509738589
"Iriston",0.162843455586785
"Izidor",0.184541517613258
"Kanata",0.129973331842017
"Karamanovka",0.0623805037203151
"Kardiff",0.0247242255882984
"Kasatka",-0.28105438131888
"Kasatka_(povt)",-0.22180754693552
"Kassidi",0.114648650078678
"Kazachka",-0.0891714282538487
"KH-KH_iz_Kitaya_№_2",-0.0690633003293869
"Khlorned_(ch/sem.)",0.132163199045224
"Kioto",0.100620265266981
"Kitrossa",0.0180800444130954
"Klavera",0.0329324047541948
"Kleopatra",0.0349717138801626
"Klondayk",0.160203056642505
"KNR-12-09_R4",0.157198855808494
"KNR-12-09_R9",0.168669059230935
"Knyazhna",-0.00990937205887495
"Kobra",-0.024598751284079
"Kofu",0.0992390313213325
